pincode,lat,lng
122101,28.376034985905246,77.03958002815486
122102,28.31862470861872,77.06933094307632
122103,28.220601274042497,77.1210765097187
122104,27.74849174499073,76.96480468137811
122105,28.23773249293662,76.95996321217127
122107,28.07158765652568,77.04902687266959
122108,27.912875688026677,77.00685964485739
122413,28.29201222578424,76.85847839422529
122414,28.275491926716303,76.74739606605804
122502,28.278712147460034,76.68518002963238
122503,28.3389524479217,76.81602703891012
122504,28.384696935653867,76.74302946940074
122505,28.44793446280311,76.92185528027656
122506,28.447004765715416,76.81149755733087
122508,27.870011481233853,77.1843368249303
123001,28.05092868832032,76.07252598276554
123021,28.12384495130354,76.25607825310901
123023,27.892591280113187,76.09407607057024
123024,28.364043323136052,75.98620611077318
123027,28.35002114659915,76.28274908394522
123028,28.179263241043813,76.13605587665015
123029,28.30879682776355,76.1210828447681
123031,28.352010665505844,76.14580259422735
123034,28.261047899455704,76.25176044239247
123035,28.377561362200503,76.63003977362071
123101,28.19270856242588,76.49149059699242
123102,28.175955448526416,76.38510535541195
123103,28.22361619524333,76.39804573946935
123106,28.18034903263094,76.75364390290628
123110,28.23197117810617,76.7995474704143
123301,28.37172242784911,76.56562964828689
123302,28.399124573749415,76.48184867542857
123303,28.423627197448752,76.36448874631958
123304,28.38369080538503,76.40691368903431
123401,28.21638662211861,76.58933525150017
123411,28.299990701765005,76.42392813489825
123412,28.103189616923935,76.50023234501688
123501,28.054231919635903,76.58981127288375
124001,28.907485706944293,76.60034137208788
124010,28.841118088669887,76.55586030615694
124021,28.84574786814228,76.6459830262467
124022,28.892403864162336,76.44819862069018
124102,28.68963474504572,76.64594341278585
124103,28.56908644713033,76.65670674475597
124104,28.61221589553399,76.73071547232755
124105,28.560657153780973,76.81533527305737
124106,28.575462339118996,76.44730044071329
124107,28.757704405528887,76.64008490616524
124108,28.448202157144973,76.65965401149394
124109,28.488303109429065,76.56453020094752
124111,28.948030201764915,76.41984572842227
124112,28.985072605237416,76.2988412650932
124113,28.820655544363515,76.4011314901942
124141,28.479132726100033,76.37952737753928
124142,28.476619694257224,76.33331206285776
124146,28.490096352408617,76.48260265152685
124201,28.70781045992118,76.57981545121103
124202,28.700406080832163,76.4659047361752
124303,29.002134270123165,76.63475661900483
124401,28.915336697749396,76.7192844282939
124404,28.82755310263272,76.84663007105961
124406,28.891023912598207,76.79182343367688
124411,28.833791172063872,76.48857506665797
124412,28.766083409715698,76.51404277031293
124501,28.76941568985348,76.76329598608629
124504,28.66923658408764,76.73384190879976
124505,28.752142175292054,76.89475591799699
124506,28.70696576972661,76.84132513990457
124507,28.69001104020209,76.92823725841211
124508,28.658312229174605,76.86002432560109
124513,29.01647519153294,76.3951040901309
124514,29.00430785347249,76.51550222076031
124515,28.49781368567866,76.77458014662852
125001,29.163148769136946,75.74599217066717
125004,29.121850359010136,75.53845390900199
125005,29.131469867667484,75.77571864869688
125006,29.075281270340884,75.8140907902921
125007,29.034813962683767,75.60911770873703
125011,29.206868711747937,75.67589501371874
125033,29.114780031406006,75.97935354492185
125037,28.97778760375235,75.82676279102581
125038,29.18726355035452,76.23043733898024
125039,29.285258292886848,76.11493392761253
125042,29.102982400605487,76.20827787051437
125044,29.11395116046842,75.8505446165925
125047,29.353655025705546,75.67603495062885
125048,29.416239426892943,75.55217739902484
125049,29.191685715228896,75.99909479817332
125050,29.529113447645084,75.42377401738368
125051,29.67568581075918,75.51708420625589
125052,29.26358142536722,75.49268212114936
125053,29.378595661273348,75.3557349558994
125054,29.556795236379436,75.21540892538454
125055,29.47170004403861,74.95951260536651
125056,29.554465637262652,75.0643024318146
125058,29.48743650100239,75.23316844336486
125060,29.548714174256904,75.14596505667397
125075,29.58277471210509,74.68756988538357
125076,29.58625849027392,74.87331146480034
125077,29.705082315129232,74.91151429507978
125078,29.677552961972754,75.08369549231737
125101,29.794523741876688,74.5499064450542
